total_rate,total_distance,total_rpm,min_route,Vehicle Type,Pickup City,Pickup State,Pickup ZIP,Delivery City,Delivery State,Delivery ZIP,Rate,Payment Method,Distance,Veh_qty,Vehicle Info,Vehicle Condition,Trailer Type,Pick-Up Date,Order ID,Additional Info,Company Name,Phone,Email,Rating,Pickup metro area,Delivery metro area,P_lat,P_lon,D_lat,D_lon,Time,RPM,Vehicle Type-2,Pickup City-2,Pickup State-2,Pickup ZIP-2,Delivery City-2,Delivery State-2,Delivery ZIP-2,Rate-2,Payment Method-2,Distance-2,Veh_qty-2,Vehicle Info-2,Vehicle Condition-2,Trailer Type-2,Pick-Up Date-2,Order ID-2,Additional Info-2,Company Name-2,Phone-2,Email-2,Rating-2,Pickup metro area-2,Delivery metro area-2,P_lat-2,P_lon-2,D_lat-2,D_lon-2,Time-2,RPM-2
3380,1558.0514975068688,2.1693763045756445,2.0,MOTORCYCLE,Fort Wayne,IN,46803,Cartersville,GA,30121,2880.0,IMMEDIATELY,621,1.0,2005 honda cbr600,Runs,OPEN,2023-02-19,CBR600. MOTORCYCLE. CALL OR TEXT 4045784294 COD,Not specified,Black Stone Auto Export,404-671-2578,blackstoneautoexport@gmail.com,100.0,Fort Wayne,Atlanta - Sandy Springs - Marietta,41.07021,-85.084269,34.202164,-84.777662,02_19_2023_13_49,4.64,MOTORCYCLE,Caro,MI,48723,Providence Forge,VA,23140,500.0,COD/COP,738,1.0,2018 harley davidson ultra classic,Runs,OPEN,2023-02-17,SM-000411,Not specified,Loadmaster Group  Inc,(740) 400-0044,dispatch@loadmg.com,100.0,Not specified,Richmond,43.492277,-83.385072,37.432286,-77.02211,02_19_2023_13_49,0.68
3430,1552.18894503803,2.209782520977794,0.0,MOTORCYCLE,Fort Wayne,IN,46803,Cartersville,GA,30121,2880.0,IMMEDIATELY,621,1.0,2005 honda cbr600,Runs,OPEN,2023-02-19,CBR600. MOTORCYCLE. CALL OR TEXT 4045784294 COD,Not specified,Black Stone Auto Export,404-671-2578,blackstoneautoexport@gmail.com,100.0,Fort Wayne,Atlanta - Sandy Springs - Marietta,41.07021,-85.084269,34.202164,-84.777662,02_19_2023_13_49,4.64,MOTORCYCLE,Richmond,IN,47374,Key West,FL,33040,550.0,COD/COP,1347,1.0,2023 kawasaki mule ranch edition,Runs,OPEN,2023-02-20,29558021,http:iTruckify.com/29bow Danial clark 904-274-2730 ASAP,Ship50S,(800) 608-6620,admin@ship50s.com,100.0,Not specified,Not specified,39.846248,-84.904012,24.600416,-81.857909,02_19_2023_13_49,0.41
3280,1300.496279020182,2.5221140982204218,0.0,MOTORCYCLE,Fort Wayne,IN,46803,Cartersville,GA,30121,2880.0,IMMEDIATELY,621,1.0,2005 honda cbr600,Runs,OPEN,2023-02-19,CBR600. MOTORCYCLE. CALL OR TEXT 4045784294 COD,Not specified,Black Stone Auto Export,404-671-2578,blackstoneautoexport@gmail.com,100.0,Fort Wayne,Atlanta - Sandy Springs - Marietta,41.07021,-85.084269,34.202164,-84.777662,02_19_2023_13_49,4.64,MOTORCYCLE,terrace park,OH,45174,lake mary,FL,32746,400.0,COD/COP,928,1.0,2020 harley davidson series,Runs,OPEN,2023-02-18,30544098-sf,call or text 9295665091,SAFE AUTO TRUCKING LLC,(610) 871-7777,safeautotruckingcd@gmail.com,100.0,Cincinnati - Middletown,Orlando - Kissimmee - Sanford,39.158204,-84.311138,28.761566,-81.353668,02_19_2023_13_49,0.43
3234,1326.140757679284,2.4386551587928165,0.0,MOTORCYCLE,Fort Wayne,IN,46803,Cartersville,GA,30121,2880.0,IMMEDIATELY,621,1.0,2005 honda cbr600,Runs,OPEN,2023-02-19,CBR600. MOTORCYCLE. CALL OR TEXT 4045784294 COD,Not specified,Black Stone Auto Export,404-671-2578,blackstoneautoexport@gmail.com,100.0,Fort Wayne,Atlanta - Sandy Springs - Marietta,41.07021,-85.084269,34.202164,-84.777662,02_19_2023_13_49,4.64,ATV,Hurricane,WV,25526,Whiteville,NC,28472,354.0,COD/COP,432,1.0,2017 polaris rzr xp 100,Inop,OPEN,2023-02-17,wvnc4g0b,Get Load: https://easyhaul.com/d/WOLSM,EasyHaul.com LLC,(360) 776-3583,dispatch@easyhaul.com,99.9,Huntington - Ashland,Not specified,38.388088,-81.977622,34.285434,-78.63755,02_19_2023_13_49,0.82
3280,1605.9130963338182,2.042451741310286,0.0,MOTORCYCLE,Fort Wayne,IN,46803,Cartersville,GA,30121,2880.0,IMMEDIATELY,621,1.0,2005 honda cbr600,Runs,OPEN,2023-02-19,CBR600. MOTORCYCLE. CALL OR TEXT 4045784294 COD,Not specified,Black Stone Auto Export,404-671-2578,blackstoneautoexport@gmail.com,100.0,Fort Wayne,Atlanta - Sandy Springs - Marietta,41.07021,-85.084269,34.202164,-84.777662,02_19_2023_13_49,4.64,MOTORCYCLE,Hurricane,WV,25526,Hollywood,FL,33023,400.0,COD/COP,1008,1.0,2022 harley davidson flxrs,Runs,OPEN,2023-02-16,2022,Not specified,21 USED CARS,(267) 423-6313,sales@21usedcars.com,100.0,Huntington - Ashland,Miami - Fort Lauderdale - Pompano Beach,38.388088,-81.977622,25.991066,-80.211084,02_19_2023_13_49,0.4
3380,2013.0783962874427,1.6790205519235912,2.0,MOTORCYCLE,Fort Wayne,IN,46803,Cartersville,GA,30121,2880.0,IMMEDIATELY,621,1.0,2005 honda cbr600,Runs,OPEN,2023-02-19,CBR600. MOTORCYCLE. CALL OR TEXT 4045784294 COD,Not specified,Black Stone Auto Export,404-671-2578,blackstoneautoexport@gmail.com,100.0,Fort Wayne,Atlanta - Sandy Springs - Marietta,41.07021,-85.084269,34.202164,-84.777662,02_19_2023_13_49,4.64,MOTORCYCLE,Grand Rapids,MI,49512,Worcester,MA,1602,500.0,TWO_BUSINESS_DAYS,794,1.0,1961 honda dream 305,Runs,ENCLOSED,2023-02-18,29184243-k,tinyurl.com/2mxt2r49,TCI Logistics Inc,(312) 224-8620,kalotranscargo@gmail.com,100.0,Grand Rapids - Wyoming,Worcester,42.883253,-85.533676,42.274402,-71.847756,02_19_2023_13_49,0.63
3330,1760.167132875997,1.8918657994476924,0.0,MOTORCYCLE,Fort Wayne,IN,46803,Cartersville,GA,30121,2880.0,IMMEDIATELY,621,1.0,2005 honda cbr600,Runs,OPEN,2023-02-19,CBR600. MOTORCYCLE. CALL OR TEXT 4045784294 COD,Not specified,Black Stone Auto Export,404-671-2578,blackstoneautoexport@gmail.com,100.0,Fort Wayne,Atlanta - Sandy Springs - Marietta,41.07021,-85.084269,34.202164,-84.777662,02_19_2023_13_49,4.64,MOTORCYCLE,Winchester,VA,22601,Orlando,FL,32821,450.0,COD/COP,902,1.0,2014 harley-davidson sportster iron 883,Runs,ENCLOSED,2023-02-20,29564926,CAsh on delivery,PS Transport And Logistics Inc,(786) 545-7018,pstransportandlogistics@gmail.com,100.0,Winchester,Orlando - Kissimmee - Sanford,39.168183,-78.169274,28.384234,-81.481519,02_19_2023_13_49,0.5
3680,2804.6014592509923,1.31212938931537,2.0,MOTORCYCLE,Fort Wayne,IN,46803,Cartersville,GA,30121,2880.0,IMMEDIATELY,621,1.0,2005 honda cbr600,Runs,OPEN,2023-02-19,CBR600. MOTORCYCLE. CALL OR TEXT 4045784294 COD,Not specified,Black Stone Auto Export,404-671-2578,blackstoneautoexport@gmail.com,100.0,Fort Wayne,Atlanta - Sandy Springs - Marietta,41.07021,-85.084269,34.202164,-84.777662,02_19_2023_13_49,4.64,MOTORCYCLE,South Haven,MI,49090,Chino Valley,AZ,86323,800.0,COD/COP,1860,1.0,2015 ducati monster,Runs,OPEN,2023-02-19,11433960,text for quick dispatch (512) 615-9858,GP Auto Logistics,(512) 503-1654,info@gpautologistics.com,98.5,Not specified,Prescott Valley - Prescott,42.418126,-86.22021,34.83896,-112.396769,02_19_2023_13_49,0.43
3780,2804.6014592509923,1.347785079242418,2.0,MOTORCYCLE,Fort Wayne,IN,46803,Cartersville,GA,30121,2880.0,IMMEDIATELY,621,1.0,2005 honda cbr600,Runs,OPEN,2023-02-19,CBR600. MOTORCYCLE. CALL OR TEXT 4045784294 COD,Not specified,Black Stone Auto Export,404-671-2578,blackstoneautoexport@gmail.com,100.0,Fort Wayne,Atlanta - Sandy Springs - Marietta,41.07021,-85.084269,34.202164,-84.777662,02_19_2023_13_49,4.64,MOTORCYCLE,South Haven,MI,49090,Chino Valley,AZ,86323,900.0,COD/COP,1860,1.0,2006 harley davidson fxdli,Runs,ENCLOSED,2023-02-22,11435985,Not specified,"ShipYourCarNow, LLC",(917) 933-5723,cdfdtest@shipyourcarnow.com,99.7,Not specified,Prescott Valley - Prescott,42.418126,-86.22021,34.83896,-112.396769,02_19_2023_13_49,0.48
3280,2161.645436255662,1.5173626280179966,1.0,MOTORCYCLE,Fort Wayne,IN,46803,Cartersville,GA,30121,2880.0,IMMEDIATELY,621,1.0,2005 honda cbr600,Runs,OPEN,2023-02-19,CBR600. MOTORCYCLE. CALL OR TEXT 4045784294 COD,Not specified,Black Stone Auto Export,404-671-2578,blackstoneautoexport@gmail.com,100.0,Fort Wayne,Atlanta - Sandy Springs - Marietta,41.07021,-85.084269,34.202164,-84.777662,02_19_2023_13_49,4.64,MOTORCYCLE,Rochester,NY,14602,Lawrence,MA,1841,400.0,TEN_BUSINESS_DAYS,406,1.0,2012 yamaha vmax,Runs,ENCLOSED,2023-02-25,29292618,MUST BE PICKED UP ON 25th (Motorcycle),OW Auto Transport LLC,(978) 960-7699,owautotransport@gmail.com,100.0,Rochester,Boston - Cambridge - Quincy,43.1544,-77.6156,42.708653,-71.163282,02_19_2023_13_49,0.99
3460,1754.8068390957078,1.971726986078432,2.0,MOTORCYCLE,Fort Wayne,IN,46803,Cartersville,GA,30121,2880.0,IMMEDIATELY,621,1.0,2005 honda cbr600,Runs,OPEN,2023-02-19,CBR600. MOTORCYCLE. CALL OR TEXT 4045784294 COD,Not specified,Black Stone Auto Export,404-671-2578,blackstoneautoexport@gmail.com,100.0,Fort Wayne,Atlanta - Sandy Springs - Marietta,41.07021,-85.084269,34.202164,-84.777662,02_19_2023_13_49,4.64,MOTORCYCLE,Black River,MI,48721,Providence Forge,VA,23140,580.0,COD/COP,863,1.0,2011 harley-davidson road glide ultra,Runs,OPEN,2023-02-16,WA1043,Not specified,Cars Hauler,(844) 777-0105,carshaulerllc@gmail.com,100.0,Not specified,Richmond,44.807888,-83.349064,37.432286,-77.02211,02_19_2023_13_49,0.67
3580,1466.8529811393128,2.4405990552777785,2.0,MOTORCYCLE,Fort Wayne,IN,46803,Cartersville,GA,30121,2880.0,IMMEDIATELY,621,1.0,2005 honda cbr600,Runs,OPEN,2023-02-19,CBR600. MOTORCYCLE. CALL OR TEXT 4045784294 COD,Not specified,Black Stone Auto Export,404-671-2578,blackstoneautoexport@gmail.com,100.0,Fort Wayne,Atlanta - Sandy Springs - Marietta,41.07021,-85.084269,34.202164,-84.777662,02_19_2023_13_49,4.64,MOTORCYCLE,muskegon,MI,49441,fayetteville,NC,28314,700.0,COD/COP,856,1.0,2013 suzuki gsx-r 600,Runs,OPEN,2023-03-03,54691cs,Not specified,Send It Car Shippers,(619) 775-1516,matt@senditcarshippers.com,99.7,Muskegon - Norton Shores,Fayetteville,43.186901,-86.272871,35.06445,-79.018656,02_19_2023_13_49,0.82
3380,1911.5681479003488,1.768181795513053,0.0,MOTORCYCLE,Fort Wayne,IN,46803,Cartersville,GA,30121,2880.0,IMMEDIATELY,621,1.0,2005 honda cbr600,Runs,OPEN,2023-02-19,CBR600. MOTORCYCLE. CALL OR TEXT 4045784294 COD,Not specified,Black Stone Auto Export,404-671-2578,blackstoneautoexport@gmail.com,100.0,Fort Wayne,Atlanta - Sandy Springs - Marietta,41.07021,-85.084269,34.202164,-84.777662,02_19_2023_13_49,4.64,MOTORCYCLE,Coxs Creek,KY,40013,Lubbock,TX,79424,500.0,COD/COP,1155,1.0,2004 harley davidson road king,Runs,ENCLOSED,2023-02-18,11407537-gp,Call or Text 786-725-5998 or Call 888-802-8250 ext 4209,AutoStar Transport Express LLC,(888) 802-8250,dispatch@autostartransport.com,100.0,Not specified,Lubbock,37.92808,-85.489273,33.47143,-101.95161,02_19_2023_13_49,0.43
3330,1098.1994544815072,3.032236071882036,0.0,MOTORCYCLE,Fort Wayne,IN,46803,Cartersville,GA,30121,2880.0,IMMEDIATELY,621,1.0,2005 honda cbr600,Runs,OPEN,2023-02-19,CBR600. MOTORCYCLE. CALL OR TEXT 4045784294 COD,Not specified,Black Stone Auto Export,404-671-2578,blackstoneautoexport@gmail.com,100.0,Fort Wayne,Atlanta - Sandy Springs - Marietta,41.07021,-85.084269,34.202164,-84.777662,02_19_2023_13_49,4.64,ATV,Louisville,KY,40272,Matthews,NC,28105,450.0,COD/COP,499,1.0,2021 kawasaki krf 1000,Inop,OPEN,2023-02-17,Iv3,Not specified,YORK MOTOR COMPANY,(803) 989-1575,yorkmotorco@gmail.com,100.0,Louisville/Jefferson County,Charlotte - Gastonia - Rock Hill,38.067964,-85.865368,35.110446,-80.708955,02_19_2023_13_49,0.9
3380,1982.367192672388,1.705032252598719,0.0,MOTORCYCLE,Fort Wayne,IN,46803,Cartersville,GA,30121,2880.0,IMMEDIATELY,621,1.0,2005 honda cbr600,Runs,OPEN,2023-02-19,CBR600. MOTORCYCLE. CALL OR TEXT 4045784294 COD,Not specified,Black Stone Auto Export,404-671-2578,blackstoneautoexport@gmail.com,100.0,Fort Wayne,Atlanta - Sandy Springs - Marietta,41.07021,-85.084269,34.202164,-84.777662,02_19_2023_13_49,4.64,MOTORCYCLE,fredericksburg,VA,22408,naples,FL,34120,500.0,COD/COP,978,1.0,2009 kawasaki ex500d,Inop,OPEN,2023-02-20,29543389,Ready to pick up. Cash on delivery.,PS Transport And Logistics Inc,(786) 545-7018,pstransportandlogistics@gmail.com,100.0,Washington - Arlington - Alexandria,Naples - Marco Island,38.208853,-77.402934,26.322766,-81.559226,02_19_2023_13_49,0.51
3230,1770.3051108284303,1.824544243951537,3.0,MOTORCYCLE,Fort Wayne,IN,46803,Cartersville,GA,30121,2880.0,IMMEDIATELY,621,1.0,2005 honda cbr600,Runs,OPEN,2023-02-19,CBR600. MOTORCYCLE. CALL OR TEXT 4045784294 COD,Not specified,Black Stone Auto Export,404-671-2578,blackstoneautoexport@gmail.com,100.0,Fort Wayne,Atlanta - Sandy Springs - Marietta,41.07021,-85.084269,34.202164,-84.777662,02_19_2023_13_49,4.64,MOTORCYCLE,Waldorf,MD,20602,Waterford,MI,48328,350.0,COD/COP,577,1.0,2023 kawasaki zx636 k,Runs,OPEN,2023-02-17,CASH ON DELIVERY,Not specified,Shelby Auto Sales Inc,(586) 321-3400,bryankhamoro@gmail.com,100.0,Washington - Arlington - Alexandria,Detroit - Warren - Livonia,38.58647,-76.898935,42.647122,-83.355564,02_19_2023_13_49,0.61
3200,1500.073052134823,2.133229442023462,1.0,MOTORCYCLE,Fort Wayne,IN,46803,Cartersville,GA,30121,2880.0,IMMEDIATELY,621,1.0,2005 honda cbr600,Runs,OPEN,2023-02-19,CBR600. MOTORCYCLE. CALL OR TEXT 4045784294 COD,Not specified,Black Stone Auto Export,404-671-2578,blackstoneautoexport@gmail.com,100.0,Fort Wayne,Atlanta - Sandy Springs - Marietta,41.07021,-85.084269,34.202164,-84.777662,02_19_2023_13_49,4.64,MOTORCYCLE,Aberdeen,MD,21001,Clemmons,NC,27012,320.0,COD/COP,416,1.0,2013 can-am spyder,Runs,OPEN,2023-03-01,S207,Not specified,Cars Hauler,(844) 777-0105,carshaulerllc@gmail.com,100.0,Baltimore - Towson,Winston - Salem,39.498258,-76.198885,36.004018,-80.371445,02_19_2023_13_49,0.77
3180,1871.69077499094,1.6989985966113412,1.0,MOTORCYCLE,Fort Wayne,IN,46803,Cartersville,GA,30121,2880.0,IMMEDIATELY,621,1.0,2005 honda cbr600,Runs,OPEN,2023-02-19,CBR600. MOTORCYCLE. CALL OR TEXT 4045784294 COD,Not specified,Black Stone Auto Export,404-671-2578,blackstoneautoexport@gmail.com,100.0,Fort Wayne,Atlanta - Sandy Springs - Marietta,41.07021,-85.084269,34.202164,-84.777662,02_19_2023_13_49,4.64,MOTORCYCLE,Central Square,NY,13036,Secaucus,NJ,7094,300.0,TWO_BUSINESS_DAYS,268,1.0,2013 harley davidson flhtk,Runs,OPEN,2023-02-20,TEXT ONLY 586.530.1584,Not specified,JK Motors,(248) 252-9669,jkmotorsmi@gmail.com,100.0,Syracuse,New York - Northern New Jersey - Long Island,43.32613,-76.172597,40.778264,-74.064532,02_19_2023_13_49,1.12
3830,2152.6322718415013,1.7792170312134037,2.0,MOTORCYCLE,Fort Wayne,IN,46803,Cartersville,GA,30121,2880.0,IMMEDIATELY,621,1.0,2005 honda cbr600,Runs,OPEN,2023-02-19,CBR600. MOTORCYCLE. CALL OR TEXT 4045784294 COD,Not specified,Black Stone Auto Export,404-671-2578,blackstoneautoexport@gmail.com,100.0,Fort Wayne,Atlanta - Sandy Springs - Marietta,41.07021,-85.084269,34.202164,-84.777662,02_19_2023_13_49,4.64,MOTORCYCLE,schwenksville,PA,19473,englewood,FL,34223,950.0,COD/COP,1146,1.0,2022 polaris slingshot,Runs,ENCLOSED,2023-03-01,30576371-uf,call 6107567318,United Freeway Transportation LLC,(610) 756-7472,uftransportation2021@gmail.com,99.9,Philadelphia - Camden - Wilmington,North Port - Bradenton - Sarasota,40.255362,-75.48157,26.978678,-82.366384,02_19_2023_13_49,0.83
3880,3041.140605100367,1.2758370966119628,0.0,MOTORCYCLE,Fort Wayne,IN,46803,Cartersville,GA,30121,2880.0,IMMEDIATELY,621,1.0,2005 honda cbr600,Runs,OPEN,2023-02-19,CBR600. MOTORCYCLE. CALL OR TEXT 4045784294 COD,Not specified,Black Stone Auto Export,404-671-2578,blackstoneautoexport@gmail.com,100.0,Fort Wayne,Atlanta - Sandy Springs - Marietta,41.07021,-85.084269,34.202164,-84.777662,02_19_2023_13_49,4.64,MOTORCYCLE,Milwaukee,WI,53223,Surprise,AZ,85374,1000.0,COD/COP,1891,1.0,2007 kawasaki zx10r,Runs,OPEN,2023-02-25,10952118,text for quick dispatch at (512) 615-9863,GP Auto Logistics,(512) 503-1654,info@gpautologistics.com,98.5,Milwaukee - Waukesha - West Allis,Phoenix - Mesa - Glendale,43.163245,-87.994068,33.65133,-112.376444,02_19_2023_13_49,0.53
