Vehicle Type,Pickup City,Pickup State,Pickup ZIP,Delivery City,Delivery State,Delivery ZIP,Rate,Payment Method,Distance,Veh_qty,Vehicle Info,Vehicle Condition,Trailer Type,Pick-Up Date,Order ID,Additional Info,Company Name,Phone,Email,Rating,Pickup metro area,Delivery metro area,P_lat,P_lon,D_lat,D_lon,Time
CAR,fayetteville,AR,72704,brier,WA,98036,1525,COD/COP,2132,1,2017 honda civic,Runs,ENCLOSED,2023-03-02,1713938,Not specified,Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,Fayetteville - Springdale - Rogers,Seattle - Tacoma - Bellevue,36.107636,-94.303874,47.804768,-122.286194,02_22_2023_16_32
SUV,fort smith,AR,72916,jersey city,NJ,07302,900,COD/COP,1388,1,2022 lexus gx 460,Runs,ENCLOSED,2023-02-24,1727878,Not specified,Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,Fort Smith,New York - Northern New Jersey - Long Island,35.27412,-94.37369,40.720101,-74.043134,02_22_2023_16_32
CAR,harrison,AR,72601,lakewood,CO,80214,900,COD/COP,850,1,2016 nissan gtr,Runs,ENCLOSED,2023-02-22,35309526,Not specified,Urban Motors,(720) 665-9070,dario@urbanmotors.com,100.0,Not specified,Denver - Aurora,36.259823,-93.075368,39.74299,-105.072022,02_22_2023_16_32
CAR,Little Rock,AR,72205,Bellevue,WA,98007,1600,COD/COP,2284,1,2010 tesla model y,Runs,ENCLOSED,2023-03-04,FEV1377 - 2,Original pick up : MO - Springfield 65806,Five Star Logix LLC,(979) 261-0112,dispatch@fivestarlogix.com,100.0,Little Rock - North Little Rock - Conway,Seattle - Tacoma - Bellevue,34.744879,-92.346546,47.619741,-122.142986,02_22_2023_16_32
SUV,Little Rock,AR,72227,Heber City,UT,84032,1100,TEN_BUSINESS_DAYS,1399,1,2022 ford bronco,Runs,ENCLOSED,2023-03-01,10962334,832-437-1934 READY TO GO END OF FEBUARY CALL FOR INFO,New World Auto Transport,(832) 437-2478,steve.wells50@yahoo.com,100.0,Little Rock - North Little Rock - Conway,Not specified,34.778395,-92.374339,40.289364,-111.20957,02_22_2023_16_32
CAR,lowell,AR,72745,dallas,TX,75235,700,TWO_BUSINESS_DAYS,352,1,2022 lucid air,Runs,ENCLOSED,2023-02-22,ula6148303,Please call/text for more info and dispatch: (708) 441-3342,Usko Logistics Inc,(708) 441-3342,alice@uskologistics.com,100.0,Fayetteville - Springdale - Rogers,Dallas - Fort Worth - Arlington,36.24712,-94.111849,32.831295,-96.845969,02_22_2023_16_32
CAR,chandler,AZ,85225,pleasant hill,MO,64080,820,COD/COP,1285,1,2023 chevrolet corvette,Runs,ENCLOSED,2023-02-22,7950241,Not specified,Acertus,(314) 334-3400,dispatch@metrogistics.com,99.9,Phoenix - Mesa - Glendale,Kansas City,33.326048,-111.82442,38.759564,-94.26735,02_22_2023_16_32
CAR,chandler,AZ,85225,milwaukee,WI,53218,1200,COD/COP,1913,1,1974 chevrolet malibu classic,Runs,ENCLOSED,2023-02-14,30466845-cg0,call or text jerry-727 350-6071,Us Car-Go Freight Logistics LLC,(727) 350-7955,info@uscargofreight.com,99.6,Phoenix - Mesa - Glendale,Milwaukee - Waukesha - West Allis,33.326048,-111.82442,43.115512,-87.994002,02_22_2023_16_32
CAR,florence,AZ,85132,cape coral,FL,33904,1500,COD/COP,2230,1,2021 chevrolet camaro,Runs,ENCLOSED,2023-03-01,116710,Not specified,McCollister's Brokerage Services Inc,(609) 699-7010,maldispatch@mccollisters.com,99.5,Phoenix - Mesa - Glendale,Cape Coral - Fort Myers,32.98516,-111.297855,26.574237,-81.943902,02_22_2023_16_32
CAR,fort mohave,AZ,86426,puyallup,WA,98374,1650,COD/COP,1252,1,1956 chevrolet bel air,Runs,ENCLOSED,2023-02-27,r569277,call or request online: v2d&period;io/1nrfyj,RoadRunner Auto Transport,(516) 605-2666,dispatch@v2logistics.com,99.9,Lake Havasu City - Kingman,Seattle - Tacoma - Bellevue,35.007476,-114.56459,47.126648,-122.252518,02_22_2023_16_32
CAR,Fountain Hills,AZ,85268,Bend,OR,97702,1350,COD/COP,1221,1,2018 ferrari 488,Runs,ENCLOSED,2023-02-22,488-OR TEXT ONLY 913-215-3113,READY NOW TEXT ONLY 913-215-3113,airRyd LLC,(913) 215-3113,customerservice@airryd.com,100.0,Phoenix - Mesa - Glendale,Bend,33.60374,-111.742483,43.972165,-121.256474,02_22_2023_16_32
CAR,gilbert,AZ,85298,wentzville,MO,63385,950,COD/COP,1444,1,1978 chevrolet cheyenne,Runs,ENCLOSED,2023-03-01,1380471,ach or net 20,Reindeer Logistics LLC,(800) 548-4020,stephen.mackay@reindeerauto.com,99.4,Phoenix - Mesa - Glendale,St. Louis,33.241865,-111.729147,38.790097,-90.848366,02_22_2023_16_32
SUV,glendale,AZ,85302,goose creek,SC,29445,1400,COD/COP,2157,1,2004 lexus rx 330,Runs,ENCLOSED,2023-02-22,30429601-pa,nick 516-696-6922,Premium Auto Shipping Inc,(516) 696-6940,premiumautoshipping@gmail.com,98.0,Phoenix - Mesa - Glendale,Charleston - North Charleston,33.56741,-112.18117,32.98908,-79.993356,02_22_2023_16_32
CAR,Glendale,AZ,85308,Santa Monica,CA,90404,500,TWO_BUSINESS_DAYS,391,1,2023 bmw 4 series,Runs,ENCLOSED,2023-02-22,TRADE BACK 2 CAR DEAL $1000 FOR 2X,"Text 928 263 9709, 2 DAY ZELLE, VENMO,OTHERS ",Orona's Towing LLC,(623) 308-2927,j.orona21@hotmail.com,100.0,Phoenix - Mesa - Glendale,Los Angeles - Long Beach - Anaheim,33.668148,-112.186201,34.02684,-118.471847,02_22_2023_16_32
CAR,glendale,AZ,85301,richmond,VA,23173,1200,COD/COP,2293,1,1967 plymouth baracuda,Runs,ENCLOSED,2023-03-01,262594-74696,"destination: franklin,va 23851",Nexus AT LLC,(224) 265-0677,dispatch@nexusautotransport.com,99.9,Phoenix - Mesa - Glendale,Richmond,33.538168,-112.185914,37.575548,-77.542178,02_22_2023_16_32
CAR,glendale,AZ,85301,franklin,VA,23851,1200,COD/COP,2315,1,1967 plymouth baracuda,Runs,ENCLOSED,2023-03-01,262594-74695,Not specified,Nexus AT LLC,(224) 265-0677,dispatch@nexusautotransport.com,99.9,Phoenix - Mesa - Glendale,Virginia Beach - Norfolk - Newport News,33.538168,-112.185914,36.676318,-76.956512,02_22_2023_16_32
PICKUP,Golden Valley,AZ,86413,Crossville,TN,38571,1800,COD/COP,1822,1,1949 chevy 3100 pick up,Runs,ENCLOSED,2023-03-05,11369085,"Lift gate only, NO race ramps",Certified Auto Shippers LLC,(503) 760-3232,kathy@certifiedautoshippers.com,100.0,Lake Havasu City - Kingman,Not specified,35.25007,-114.362302,36.048067,-85.041018,02_22_2023_16_32
PICKUP,Lake Havasu City,AZ,86403,Joliet,MT,59041,1500,COD/COP,1107,1,1990 chevrolet c3500 ( 4 doors ) single axle,Runs,ENCLOSED,2023-02-22,10947861,Not specified,Shiplux LLC,(305) 517-3456,admin@shiplux.com,100.0,Lake Havasu City - Kingman,Billings,34.47537,-114.340188,45.484897,-109.027291,02_22_2023_16_32
CAR,maricopa,AZ,85138,sugar land,TX,77478,600,COD/COP,1153,1,2022 harley-davidson street glide,Runs,ENCLOSED,2023-02-22,ma2253,Not specified,Movevocity LLC,(305) 907-7152,info@movevocity.com,99.3,Phoenix - Mesa - Glendale,Houston - Sugar Land - Baytown,33.075263,-112.032976,29.630216,-95.632308,02_22_2023_16_32
CAR,mesa,AZ,85213,shelburne,VT,05482,1800,COD/COP,2550,1,2007 audi rs4,Runs,ENCLOSED,2023-02-21,35352861,Not specified,SNB Motors LLC,(480) 353-9787,snbautosalesaz@gmail.com,100.0,Phoenix - Mesa - Glendale,Burlington - South Burlington,33.449836,-111.767694,44.394886,-73.230426,02_22_2023_16_32
SUV,mesa,AZ,85201,lehigh acres,FL,33971,1450,COD/COP,2282,1,2017 buick encore,Runs,ENCLOSED,2023-02-22,1730361,"actual p/u in prescott,az 86301.",Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,Phoenix - Mesa - Glendale,Cape Coral - Fort Myers,33.443238,-111.85532,26.648392,-81.718512,02_22_2023_16_32
CAR,mesa,AZ,85205,grand portage,MN,55605,1800,COD/COP,1934,1,2000 ferrari 360 modena,Runs,ENCLOSED,2023-02-22,HL0336,Not specified,Swift Auto Transportation LLC,(772) 985-2332,smokinjojod@yahoo.com,99.6,Phoenix - Mesa - Glendale,Not specified,33.433576,-111.718432,47.948634,-89.688018,02_22_2023_16_32
CAR,Paradise Valley,AZ,85253,Cleveland,OH,44106,1500,FIVE_BUSINESS_DAYS,2015,1,2013 bmw 750,Runs,ENCLOSED,2023-03-01,315935,Not specified,Angels Moving Autos,(530) 245-0629,angelsmovingautos@gmail.com,99.6,Phoenix - Mesa - Glendale,Cleveland - Elyria - Mentor,33.545998,-111.969375,41.506698,-81.605352,02_22_2023_16_32
PICKUP,Peoria,AZ,85382,Hermitage,TN,37076,1600,COD/COP,1692,1,1969 chevrolet c/k 10 series,Inop,ENCLOSED,2023-02-22,Txt only 615-946-9103; runs and drives,Not specified,Down South Industries,(615) 946-9103,transport@downsouthindustriesllc.com,99.7,Phoenix - Mesa - Glendale,Nashville-Davidson - Murfreesboro - Franklin,33.651723,-112.246213,36.143122,-86.589654,02_22_2023_16_32
CAR,peoria,AZ,85381,machesney park,IL,61115,1400,COD/COP,1740,1,1930 ford model a,Runs,ENCLOSED,2023-02-22,r569693,Not specified,RoadRunner Auto Transport,(516) 605-2666,dispatch@v2logistics.com,99.9,Phoenix - Mesa - Glendale,Rockford,33.610588,-112.233346,42.363398,-89.020671,02_22_2023_16_32
SUV,Phoenix,AZ,85026,Ballston Lake,NY,12019,1700,COD/COP,2524,1,2022 mercedes-benz g-class,Runs,ENCLOSED,2023-02-24,enclose onle,text only,Abra Trans Inc,(445) 777-0010,abratrans11@gmail.com,99.0,Phoenix - Mesa - Glendale,Albany - Schenectady - Troy,33.4526,-112.0734,42.93515,-73.907162,02_22_2023_16_32
PICKUP,Phoenix,AZ,85011,Joliet,MT,59041,1600,COD/COP,1197,1,1990 chevrolet c3500 ( 4 doors ) not a dually,Runs,ENCLOSED,2023-02-22,10963039,"L 20.5in W 84in H 82in Actual P/U Lake Havasu City, AZ 86403",Shiplux LLC,(305) 517-3456,admin@shiplux.com,100.0,Phoenix - Mesa - Glendale,Billings,33.4486,-112.0733,45.484897,-109.027291,02_22_2023_16_32
CAR,Phoenix,AZ,85054,Boise,ID,83713,1100,COD/COP,924,1,2023 lamborghini huracan,Runs,ENCLOSED,2023-02-28,Not specified,Not specified,Lupo Motors LLC,(208) 659-9588,drake@lupomotors.com,100.0,Phoenix - Mesa - Glendale,Boise City - Nampa,33.683424,-111.95136,43.633927,-116.339582,02_22_2023_16_32
SUV,Phoenix,AZ,85026,Farmington,NM,87401,750,COD/COP,396,1,2022 maserati levante,Runs,ENCLOSED,2023-02-27,22 Maserati levante,Not specified,CAR DROP INC,(518) 836-7798,orders@cardropinc.com,100.0,Phoenix - Mesa - Glendale,Farmington,33.4526,-112.0734,36.464714,-108.139779,02_22_2023_16_32
CAR,Phoenix,AZ,85026,Longmont,CO,80504,950,COD/COP,851,1,1926 model t roadster,Runs,ENCLOSED,2023-02-23,Not specified,"text  480-580-7368, comp name, pickup and del date",Uber Haul Logistics/ Uber Haul Transport LLC,(623) 792-7772,uberhaul@gmail.com,100.0,Phoenix - Mesa - Glendale,Greeley,33.4526,-112.0734,40.165272,-105.016554,02_22_2023_16_32
CAR,Phoenix,AZ,85027,Houston,TX,77025,950,COD/COP,1201,1,2011 porsche turbo s,Runs,ENCLOSED,2023-02-22,11441788,Not specified,Stars & Stripes Transportation Corp,(786) 837-7971,starsandstripescorp@gmail.com,99.9,Phoenix - Mesa - Glendale,Houston - Sugar Land - Baytown,33.678258,-112.099816,29.679892,-95.43108,02_22_2023_16_32
CAR,Phoenix,AZ,85026,Oklahoma City,OK,73125,700,COD/COP,953,1,2020 porsche taycan,Runs,ENCLOSED,2023-02-22,Not specified,Not specified,Five Point Auto Transport,(818) 404-3303,starautoexpress@yahoo.com,99.7,Phoenix - Mesa - Glendale,Oklahoma City,33.4526,-112.0734,35.4678,-97.5164,02_22_2023_16_32
SUV,prescott,AZ,86301,lehigh acres,FL,33971,1450,COD/COP,2357,1,2017 buick encore,Runs,ENCLOSED,2023-02-22,1730338,Not specified,Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,Prescott Valley - Prescott,Cape Coral - Fort Myers,34.619313,-112.419363,26.648392,-81.718512,02_22_2023_16_32
CAR,Rio Verde,AZ,85263,Plymouth,MN,55441,1400,TWO_BUSINESS_DAYS,1643,1,2020 chevy corvette,Runs,ENCLOSED,2023-03-01,Vette,Text Matt with pictures of set up prefer 6 car enclosed,Michel Enterprises LLC,(952) 715-1548,michel.enterprisesllc@gmail.com,100.0,Phoenix - Mesa - Glendale,Minneapolis - St. Paul - Bloomington,33.746387,-111.679598,45.005931,-93.430243,02_22_2023_16_32
SUV,rio verde,AZ,85263,nashville,TN,37221,1000,COD/COP,1618,1,2019 cadillac xt5,Runs,ENCLOSED,2023-03-02,1715289,call/text 224-300-5380,Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,Phoenix - Mesa - Glendale,Nashville-Davidson - Murfreesboro - Franklin,33.746387,-111.679598,36.059068,-86.959797,02_22_2023_16_32
CAR,scottsdale,AZ,85260,albuquerque,NM,87107,800,COD/COP,406,1,1970 ford torino,Runs,ENCLOSED,2023-02-24,148410-1,"pul: scottsdale,az 85260 del: aztec,nm 87410 uship payme",SGT Auto Transport,(864) 546-5038,sgtautotransport@gmail.com,99.9,Phoenix - Mesa - Glendale,Albuquerque,33.610962,-111.890114,35.14461,-106.646549,02_22_2023_16_32
SUV,Scottsdale,AZ,85251,Johnston,IA,50131,1600,TWO_BUSINESS_DAYS,1564,1,2023 mercedes-benz mercedes-amg gle coupe,Runs,ENCLOSED,2023-02-23,M21609,please TEXT ANITA ONLY for DISPATCH! 602-451-4857,"Phoenix Motor Company, Inc",480-409-0409,vernf@mbscottsdale.com,97.3,Phoenix - Mesa - Glendale,Des Moines - West Des Moines,33.494096,-111.922881,41.717622,-93.71172,02_22_2023_16_32
CAR,Scottsdale,AZ,85251,Franklin,MI,48025,1225,TWO_BUSINESS_DAYS,2015,1,2017 mercedes-benz s-class,Runs,ENCLOSED,2023-02-22,CALL/TEXT 734-486-5469 FOR ID#,*** 2 DAY QUICK PAY - ACH ***,DASH Auto Logistics,(248) 835-9820,plangan1026@aol.com,99.8,Phoenix - Mesa - Glendale,Detroit - Warren - Livonia,33.494096,-111.922881,42.517744,-83.266962,02_22_2023_16_32
CAR,scottsdale,AZ,85260,aztec,NM,87410,800,COD/COP,404,1,1970 ford torino,Runs,ENCLOSED,2023-02-24,148410,uship payments,SGT Auto Transport,(864) 546-5038,sgtautotransport@gmail.com,99.9,Phoenix - Mesa - Glendale,Farmington,33.610962,-111.890114,36.871784,-107.951175,02_22_2023_16_32
SUV,Scottsdale,AZ,85251,Jupiter,FL,33458,2700,COD/COP,2290,1,1952 ford custom milk truck,Runs,ENCLOSED,2023-02-21,Ford Custom Truck,"190' L -  86' H - 97"" W",CAR DROP INC,(518) 836-7798,orders@cardropinc.com,100.0,Phoenix - Mesa - Glendale,Miami - Fort Lauderdale - Pompano Beach,33.494096,-111.922881,26.936947,-80.135437,02_22_2023_16_32
CAR,scottsdale,AZ,85255,nashville,TN,37211,1375,COD/COP,1642,1,2021 chevrolet corvette,Runs,ENCLOSED,2023-03-06,1123-34631,https:shrpa.io/ci?o=1123-34631,Sherpa Auto Transport LLC 2,(844) 311-9931,dispatch+2@sherpaautotransport.com,100.0,Phoenix - Mesa - Glendale,Nashville-Davidson - Murfreesboro - Franklin,33.663643,-111.8085,36.068396,-86.723889,02_22_2023_16_32
SUV,scottsdale,AZ,85260,bellevue,WA,98007,900,COD/COP,1458,1,2016 audi q5,Runs,ENCLOSED,2023-02-28,113464,pmt: quickpay,Auction Direct Transport LLC,(480) 981-9819,sales@auctiondirecttransport.com,100.0,Phoenix - Mesa - Glendale,Seattle - Tacoma - Bellevue,33.610962,-111.890114,47.619741,-122.142986,02_22_2023_16_32
CAR,scottsdale,AZ,85251,tucson,AZ,85719,375,TWO_BUSINESS_DAYS,119,1,2022 lucid air,Runs,ENCLOSED,2023-02-22,ula6148459,Please call/text for more info and dispatch: (708) 441-3342,Usko Logistics Inc,(708) 441-3342,alice@uskologistics.com,100.0,Phoenix - Mesa - Glendale,Tucson,33.494096,-111.922881,32.248016,-110.947413,02_22_2023_16_32
SUV,Scottsdale,AZ,85260,Steamboat Springs,CO,80487,1000,COD/COP,766,1,1995 land rover defender,Inop,ENCLOSED,2023-02-22,22060,Not specified,Motorgroup LLC,(503) 780-3999,dan@motorgroupllc.com,100.0,Phoenix - Mesa - Glendale,Not specified,33.610962,-111.890114,40.4537,-106.903204,02_22_2023_16_32
CAR,Scottsdale,AZ,85251,Cadillac,MI,49601,1450,COD/COP,1992,1,1999 porsche 911,Runs,ENCLOSED,2023-02-22,porsche220,Not specified,Valet Auto Transport,(231) 577-9050,joe@valetautotransport.com,100.0,Phoenix - Mesa - Glendale,Not specified,33.494096,-111.922881,44.257048,-85.547916,02_22_2023_16_32
CAR,Tempe,AZ,85280,Edmond,OK,73034,700,COD/COP,971,1,2015 jaguar f-type,Runs,ENCLOSED,2023-02-23,11480379,please call 2057216095x101,Minute By Minute Logistics LLC,(205) 721-6095,info@minutebyminutelogistics.com,100.0,Phoenix - Mesa - Glendale,Oklahoma City,33.4148,-111.9088,35.70715,-97.427426,02_22_2023_16_32
CAR,tucson,AZ,85707,lafayette,CO,80026,1000,COD/COP,911,1,2006 porsche cayman,Runs,ENCLOSED,2023-03-07,245239,to book email jarvis@acmecarshipping.com,Acme Auto Shipping,(469) 464-5725 x2,kevin@acmecarshipping.com,100.0,Tucson,Boulder,32.157555,-110.840723,40.022629,-105.105358,02_22_2023_16_32
CAR,tucson,AZ,85701,carol stream,IL,60188,900,COD/COP,1783,1,2014 honda accord,Runs,ENCLOSED,2023-03-02,1730204,"actual p/u in las cruces,nm 88012.",Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,Tucson,Chicago - Naperville - Joliet,32.217872,-110.968616,41.915218,-88.128156,02_22_2023_16_32
SUV,tucson,AZ,85705,el centro,CA,92243,300,COD/COP,294,1,2019 volvo xc90,Runs,ENCLOSED,2023-02-22,30891898us,865 381-9610 call or text,US Star Trucking LLC,(865) 730-4992,usstartrucking@gmail.com,99.8,Tucson,El Centro,32.269386,-111.004044,32.770882,-115.602258,02_22_2023_16_32
CAR,Vail,AZ,85641,Boxford,MA,01921,1415,COD/COP,2675,1,2008 toyota camry hybrid,Runs,ENCLOSED,2023-02-27,11478160,"Robert Austin
(470) 348-0772",USA Carship Inc,(404) 835-7997,info@usacarship.com,96.7,Tucson,Boston - Cambridge - Quincy,31.984346,-110.685376,42.679297,-71.029386,02_22_2023_16_32
CAR,Yuma,AZ,85364,Billings,MT,59106,1200,COD/COP,1278,1,1976 cadillac eldorado,Runs,ENCLOSED,2023-02-22,11288255,Text or Call 954-440-5236 SIGNED CONTRACT,"Mercury Auto Transport, Inc.1",(954) 239-2597,matt@mercuryautotransport.com,99.9,Yuma,Billings,32.707432,-114.680091,45.775349,-108.667216,02_22_2023_16_32
CAR,Yuma,AZ,85364,Elkhorn,NE,68022,1400,COD/COP,1507,1,2016 dodge challenger,Runs,ENCLOSED,2023-02-22,EA135365,Call &Text (714) 902-9584 from Dealership,Roadstar Auto Transport,(714) 902-9584,dispatchopscenter@gmail.com,93.0,Yuma,Omaha - Council Bluffs,32.707432,-114.680091,41.277232,-96.252542,02_22_2023_16_32
SUV,agoura hills,CA,91301,mableton,GA,30126,900,COD/COP,2200,1,2017 nissan rogue,Runs,ENCLOSED,2023-02-19,30448391-ug,no comment,United Global Assets Inc,(786) 785-7009,mywaydhighway91@live.com,99.2,Los Angeles - Long Beach - Anaheim,Atlanta - Sandy Springs - Marietta,34.143464,-118.763206,33.8138,-84.550292,02_22_2023_16_32
CAR,Alturas,CA,96101,Missoula,MT,59801,1355,COD/COP,665,1,1964 chevrolet impala,Runs,ENCLOSED,2023-02-22,11142825,Richard 470-560-3627 Asap,USA Carship Inc,(404) 835-7997,info@usacarship.com,96.7,Not specified,Missoula,41.5132,-120.515579,46.857761,-114.01502,02_22_2023_16_32
CAR,Arbuckle,CA,95912,North Little Rock,AR,72116,1700,COD/COP,2009,1,1929 ford model a,Runs,ENCLOSED,2023-02-22,86139,Ready pup yuba city 95993 runs and drives ,AAA Car Go Plus Inc,(303) 317-3113,dispatch@candccar-go.com,100.0,Not specified,Little Rock - North Little Rock - Conway,39.030658,-122.016459,34.805287,-92.244662,02_22_2023_16_32
CAR,Arroyo Grande,CA,93420,Morgan,UT,84050,1050,COD/COP,882,1,1929 ford model a,Inop,ENCLOSED,2023-02-22,11334487,Not specified,AmeriFreight,(770) 574-4436,dispatchfax@amerifreight.net,99.9,San Luis Obispo - Paso Robles,Ogden - Clearfield,35.156033,-120.365217,41.010461,-111.678166,02_22_2023_16_32
PICKUP,auburn,CA,95603,arvada,CO,80001,1125,COD/COP,1150,1,2023 ford f-250,Runs,ENCLOSED,2023-02-22,263958-73806,"destination: sandy,ut 84093",Nexus AT LLC,(224) 265-0677,dispatch@nexusautotransport.com,99.9,Sacramento - Arden-Arcade - Roseville,Denver - Aurora,38.919999,-121.074776,39.8028,-105.0869,02_22_2023_16_32
PICKUP,auburn,CA,95603,sandy,UT,84093,1125,COD/COP,631,1,2023 ford f-250,Runs,ENCLOSED,2023-02-22,263958-73803,Not specified,Nexus AT LLC,(224) 265-0677,dispatch@nexusautotransport.com,99.9,Sacramento - Arden-Arcade - Roseville,Salt Lake City,38.919999,-121.074776,40.596974,-111.826214,02_22_2023_16_32
CAR,Bakersfield,CA,93301,Bismarck,ND,58503,1575,IMMEDIATELY,1610,1,2009 mazda mazda6,Inop,ENCLOSED,2023-02-22,11005449,"William Todd
(404)806-1842",USA Carship Inc,(404) 835-7997,info@usacarship.com,96.7,Bakersfield - Delano,Bismarck,35.387899,-119.023585,46.910534,-100.759979,02_22_2023_16_32
CAR,bakersfield,CA,93305,royse city,TX,75189,1100,COD/COP,1481,1,1963 volkswagen bug,Runs,ENCLOSED,2023-02-25,6uh-10251,Not specified,Transport Masters USA LLC,(561) 853-1540,info@transportmasters.net,100.0,Bakersfield - Delano,Dallas - Fort Worth - Arlington,35.390686,-118.98791,32.938356,-96.306981,02_22_2023_16_32
