Vehicle Type,Pickup City,Pickup State,Pickup ZIP,Delivery City,Delivery State,Delivery ZIP,Rate,Payment Method,Distance,Veh_qty,Vehicle Info,Vehicle Condition,Trailer Type,Pick-Up Date,Order ID,Additional Info,Company Name,Phone,Email,Rating,Pickup metro area,Delivery metro area,P_lat,P_lon,D_lat,D_lon,Time_first,Time_last
CAR,Las Vegas,NV,89199,hood river,OR,97031,1101,COD/COP,1047,1,1941 ford deluxe,Runs,ENCLOSED,2023-02-10,22819,Not specified,Sweet Spot Transport,(954) 243-2295,ronaldjstewart@gmail.com,100.0,Las Vegas - Paradise,Not specified,36.1743,-115.1391,45.563575,-121.660007,02_06_2023_07_19,02_06_2023_14_56
CAR,Las Vegas,NV,89146,Tulsa,OK,74114,1000,FIFTEEN_BUSINESS_DAYS,1236,1,2023 ferrari 296 gtb,Runs,ENCLOSED,2023-02-08,38818,Not specified,Beacon Shipping Logistics,(401) 525-0654,dispatch@bslusa.com,100.0,Las Vegas - Paradise,Tulsa,36.142398,-115.22485,36.126074,-95.948338,02_06_2023_07_19,02_06_2023_10_04
CAR,las vegas,NV,89139,salt lake city,UT,84106,1075,COD/COP,432,1,2008 tesla roadster,Runs,ENCLOSED,2023-02-06,r561217,call or request online: v2d&period;io/1nragd,RoadRunner Auto Transport,(516) 605-2666,dispatch@v2logistics.com,99.9,Las Vegas - Paradise,Salt Lake City,36.033466,-115.212051,40.706464,-111.855032,02_06_2023_07_19,02_06_2023_08_48
SUV,Las Vegas,NV,89199,Scottsdale,AZ,85251,500,IMMEDIATELY,301,1,2021 lamborghini urus,Runs,ENCLOSED,2023-02-12,PM / Kris NV-AZ,email signed BOL & W9 to kim@highclassmotorsports.net,HighClass MotorSports Brokerage,256-525-1370 (cell),highclassmotorsportsbrokerage@gmail.com,100.0,Las Vegas - Paradise,Phoenix - Mesa - Glendale,36.1743,-115.1391,33.494096,-111.922881,02_06_2023_07_19,02_06_2023_14_56
SUV,las vegas,NV,89149,myrtle beach,SC,29575,1850,COD/COP,2342,1,2018 jeep grand cherokee l,Runs,ENCLOSED,2023-02-06,OR-NASC,Not specified,Open Road Transportation Services LLC,(936) 707-4336,ortsllc@gmail.com,100.0,Las Vegas - Paradise,Myrtle Beach - Conway - North Myrtle Beach,36.27865,-115.286877,33.62789,-78.967328,02_06_2023_07_19,02_06_2023_14_56
CAR,Las Vegas,NV,89131,West Palm Beach,FL,33407,1300,TWO_BUSINESS_DAYS,2477,1,2021 mercedes benz c300,Runs,ENCLOSED,2023-02-13,29376008,562-386-5034 DISPATCH PU 2/13 NOT BEFORE,Auto Relocation Specialist,(360) 600-6080,kathy@autorelocationspc.com,100.0,Las Vegas - Paradise,Miami - Fort Lauderdale - Pompano Beach,36.305996,-115.246109,26.757242,-80.090772,02_06_2023_07_19,02_06_2023_14_56
PICKUP,Las Vegas,NV,89103,Forsyth,GA,31029,1750,COD/COP,2032,1,2017 ford f-150,Runs,ENCLOSED,2023-02-04,Contact Dan Directly to Book - 909-441-8461,Not specified,Vegas Auto Gallery,(702) 782-8882,ed@vegasautogallery.com,95.0,Las Vegas - Paradise,Macon,36.111646,-115.211941,33.025365,-83.924234,02_06_2023_07_19,02_06_2023_14_56
CAR,reno,NV,89502,fort worth,TX,76118,1300,COD/COP,1644,1,2022 lexus is 350,Runs,ENCLOSED,2023-02-03,30880796-us,asap 8657304469 call text,US Star Trucking LLC,(865) 730-4992,usstartrucking@gmail.com,99.8,Reno - Sparks,Dallas - Fort Worth - Arlington,39.489562,-119.752051,32.800971,-97.200293,02_06_2023_07_19,02_06_2023_08_19
CAR,Brooklyn,NY,11235,Humble,TX,77338,900,COD/COP,1642,1,2019 honda accord,Runs,ENCLOSED,2023-02-06,10072477,TEXT 561-232-2448,Nationwide Transport Services LLC,(754) 732-0333,central@nationwidetransportservices.com,100.0,New York - Northern New Jersey - Long Island,Houston - Sugar Land - Baytown,40.584576,-73.940203,30.009467,-95.292984,02_06_2023_07_19,02_06_2023_14_56
CAR,Buffalo,NY,14214,Danvers,MA,01923,800,COD/COP,473,1,1982 ferrari 308,Runs,ENCLOSED,2023-02-06,ferrari,Call/Text 561-543-5158,Priority Auto Relocations Inc,(561) 237-5059,info@priorityautorelocations.com,100.0,Buffalo - Niagara Falls,Boston - Cambridge - Quincy,42.940576,-78.839724,42.576767,-70.951352,02_06_2023_07_19,02_06_2023_14_03
SUV,Buffalo,NY,14221,Castroville,CA,95012,2201,COD/COP,2746,1,2022 cadillac escalade,Runs,ENCLOSED,2023-02-06,11010343,dealer to residence,Ship A Car Inc.,(954) 317-5892,info@shipacarinc.com,100.0,Buffalo - Niagara Falls,Salinas,42.98525,-78.722374,36.78009,-121.742032,02_06_2023_07_19,02_06_2023_10_04
CAR,Mahopac,NY,10541,Fort Lauderdale,FL,33301,1400,COD/COP,1327,1,2020 corvette c8,Runs,ENCLOSED,2023-02-06,203398937,ext 105,Number 1 Auto Transport Group Inc.,(516) 544-4044,dispatch@number1autotransport.com,100.0,New York - Northern New Jersey - Long Island,Miami - Fort Lauderdale - Pompano Beach,41.374535,-73.752144,26.121115,-80.127232,02_06_2023_07_19,02_06_2023_08_19
CAR,long island city,NY,11101,hollywood,CA,90028,1850,COD/COP,2805,1,2015 bmw 3 series,Runs,ENCLOSED,2023-02-10,1708510,call/text 224-300-5380,Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,New York - Northern New Jersey - Long Island,Los Angeles - Long Beach - Anaheim,40.745617,-73.936038,34.099603,-118.327532,02_06_2023_07_19,02_06_2023_14_56
CAR,lockport,NY,14094,whitehall,PA,18052,675,COD/COP,328,1,1997 chevrolet camaro,Runs,ENCLOSED,2023-02-03,7857873,Not specified,Acertus,(314) 334-3400,dispatch@metrogistics.com,99.9,Buffalo - Niagara Falls,Allentown - Bethlehem - Easton,43.17051,-78.700736,40.657236,-75.502468,02_06_2023_07_19,02_06_2023_07_29
CAR,Liverpool,NY,13088,Denham Springs,LA,70706,1250,COD/COP,1401,1,1996 dodge viper,Runs,ENCLOSED,2023-02-04,Not specified,Not specified,The Parts Plug LLC,(225) 305-8227,jonathon.fitzgerald@gmail.com,100.0,Syracuse,Baton Rouge,43.10704,-76.201909,30.609941,-90.917624,02_06_2023_07_19,02_06_2023_08_06
CAR,larchmont,NY,10538,larkspur,CO,80118,1775,COD/COP,1845,1,2013 porsche 911,Runs,ENCLOSED,2023-02-13,3223-98853,p#855-606-1655,Sherpa Auto Transport LLC 3,(855) 606-1655,dispatch+3@sherpaautotransport.com,100.0,New York - Northern New Jersey - Long Island,Denver - Aurora,40.934117,-73.754688,39.219606,-104.863057,02_06_2023_07_19,02_06_2023_14_56
CAR,Jamestown,NY,14701,Mill Valley,CA,94941,2602,FIVE_BUSINESS_DAYS,2618,1,2005 mercedes-benz sl-class,Runs,ENCLOSED,2023-02-06,SHIP Enclosed NY to CA 90103 JB,Needs at least 24hr notice,RunBuggy,(800) 546-9711,blueteam@runbuggy.com,99.0,Not specified,San Francisco - Oakland - Fremont,42.103658,-79.256196,37.891792,-122.566862,02_06_2023_07_19,02_06_2023_14_12
CAR,Islip,NY,11751,Cincinnati,OH,45241,900,COD/COP,696,1,2011 bmw m3,Runs,ENCLOSED,2023-02-05,E203191,Hard Side Enclosed Only,Enthusiast Auto Group LLC,513-748-9637,todd@eabmw.com,99.4,New York - Northern New Jersey - Long Island,Cincinnati - Middletown,40.731183,-73.213684,39.274287,-84.395428,02_06_2023_07_19,02_06_2023_14_56
CAR,Hilton,NY,14468,Corona,CA,92879,2000,COD/COP,2579,1,1959 cadillac deville coupe,Runs,ENCLOSED,2023-02-06,CALL @ 347 724 6447 TONY,Pic available; Call for your offers,EKS Express Inc.,(215) 432-1422,eksexpress@gmail.com,100.0,Rochester,Riverside - San Bernardino - Ontario,43.283182,-77.814752,33.876666,-117.535892,02_06_2023_07_19,02_06_2023_09_39
CAR,Hartsdale,NY,10530,Austin,TX,73301,835,COD/COP,1778,1,2003 volvo c70,Runs,ENCLOSED,2023-02-06,10807423,Michael || 404-400-2852 || Ready to dispatch ||,USA Carship Inc,(404) 835-7997,info@usacarship.com,96.9,New York - Northern New Jersey - Long Island,Austin - Round Rock - San Marcos,41.018308,-73.812398,30.219702,-97.74726,02_06_2023_07_19,02_06_2023_14_56
SUV,GREAT NECK,NY,11021,ARGYLE,TX,76226,1500,TWO_BUSINESS_DAYS,1608,1,2023 bmw x7,Runs,ENCLOSED,2023-02-06,BS91589,Not specified,Blue Star Auto Movers,(954) 717-9884,dtorres@bluestarautomovers.com,99.9,New York - Northern New Jersey - Long Island,Dallas - Fort Worth - Arlington,40.785804,-73.725505,33.115116,-97.1625,02_06_2023_07_19,02_06_2023_14_56
CAR,Fresh Meadows,NY,11365,Temple City,CA,91780,2500,COD/COP,2794,1,2014 bmw m5,Runs,ENCLOSED,2023-02-06,11187318,call or text asap 7705997164,Cheapautotrans Inc,(770) 881-7185,info@cheapautotrans.com,97.2,New York - Northern New Jersey - Long Island,Los Angeles - Long Beach - Anaheim,40.739515,-73.794006,34.103091,-118.050886,02_06_2023_07_19,02_06_2023_14_34
CAR,fairport,NY,14450,estero,FL,33928,650,COD/COP,1457,1,2022 ezgo freedom,Runs,ENCLOSED,2023-02-09,30435981-kc,no comment,K&C Auto Transport LLC,(908) 345-2998,admin@kcautotransport.com,97.4,Rochester,Cape Coral - Fort Myers,43.104336,-77.426228,26.405436,-81.710132,02_06_2023_07_19,02_06_2023_14_56
SUV,Elmsford,NY,10523,North Miami Beach,FL,33160,1300,COD/COP,1313,1,2022 land rover range rover,Runs,ENCLOSED,2023-02-07,enclosed rover,Not specified,Fed Legal Imports LLC,(305) 912-4536,fedlegalimports@gmail.com,100.0,New York - Northern New Jersey - Long Island,Miami - Fort Lauderdale - Pompano Beach,41.06022,-73.819639,25.940416,-80.13819,02_06_2023_07_19,02_06_2023_07_23
CAR,Elba,NY,14058,North Lima,OH,44452,500,COD/COP,242,1,2015 race car chassis only race car chassis only,Runs,ENCLOSED,2023-02-02,VD80N6YDV,call/text Mariano or Azucena Cell-650-410-3207,Freight Connect Logistics LLC,(719) 426-3244,info@freightconnectlogistics.com,93.3,Not specified,Youngstown - Warren - Boardman,43.10613,-78.174994,40.952288,-80.659731,02_06_2023_07_19,02_06_2023_14_56
CAR,east setauket,NY,11733,palmyra,VA,22963,600,COD/COP,406,1,1989 ford mustang,Runs,ENCLOSED,2023-02-01,30577018-uf,no comment,United Freeway Transportation LLC,(610) 756-7472,uftransportation2021@gmail.com,99.8,New York - Northern New Jersey - Long Island,Charlottesville,40.930424,-73.11205,37.835663,-78.283957,02_06_2023_07_19,02_06_2023_09_13
CAR,duanesburg,NY,12056,summerville,SC,29483,900,COD/COP,893,1,1982 chevrolet corvette,Runs,ENCLOSED,2023-02-05,7870187,Not specified,Acertus,(314) 334-3400,dispatch@metrogistics.com,99.9,Albany - Schenectady - Troy,Charleston - North Charleston,42.769652,-74.081652,33.09643,-80.19527,02_06_2023_07_19,02_06_2023_09_19
CAR,Depew,NY,14043,Manteo,NC,27954,1100,TWO_BUSINESS_DAYS,661,1,2009 chevrolet malibu,Runs,ENCLOSED,2023-02-06,766C60F1,Must use the Autosled APP/BOL to get paid in 2 business days,Autosled Inc,(240) 880-2711,transport@autosled.com,99.7,Buffalo - Niagara Falls,Not specified,42.898978,-78.708008,35.895018,-75.670684,02_06_2023_07_19,02_06_2023_09_07
CAR,depew,NY,14043,fargo,ND,58104,1700,COD/COP,1188,1,1965 chevrolet impala convertible,Runs,ENCLOSED,2023-02-03,01-244391,call/text dispatch 954-599-5382,Door to Door Transport,(954) 639-9410,info@doortodoortransport.com,99.8,Buffalo - Niagara Falls,Fargo,42.898978,-78.708008,46.796663,-96.882706,02_06_2023_07_19,02_06_2023_07_44
CAR,delmar,NY,12054,hardeeville,SC,29927,1050,COD/COP,930,1,2015 chevrolet camaro,Runs,ENCLOSED,2023-02-04,146394,Not specified,SGT Auto Transport,(864) 546-5038,sgtautotransport@gmail.com,99.9,Albany - Schenectady - Troy,Not specified,42.609206,-73.876448,32.251824,-81.021977,02_06_2023_07_19,02_06_2023_07_29
SUV,Corfu,NY,14036,Montrose,CO,81403,1095,COD/COP,1852,1,2021 toyota rav4 hybrid  awd,Runs,ENCLOSED,2023-02-06,10482223,Larry (404) 474-2655|| ASAP || Ready for dispatch,USA Carship Inc,(404) 835-7997,info@usacarship.com,96.9,Not specified,Not specified,42.983276,-78.372948,38.383633,-107.905781,02_06_2023_07_19,02_06_2023_14_56
CAR,clarence,NY,14031,lake park,FL,33403,1400,COD/COP,1331,1,1928 ford model a,Runs,ENCLOSED,2023-02-03,1715006,Not specified,Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,Buffalo - Niagara Falls,Miami - Fort Lauderdale - Pompano Beach,42.998562,-78.61438,26.804388,-80.074771,02_06_2023_07_19,02_06_2023_08_54
CAR,Calverton,NY,11933,Troy,NY,12180,575,TWO_BUSINESS_DAYS,224,1,1965 chevrolet corvette,Runs,ENCLOSED,2023-02-03,AC - 65 Corvette,Not specified,Eldred Auto Management LLC,(954) 248-3503,customersupport@exoticcartrader.com,100.0,New York - Northern New Jersey - Long Island,Albany - Schenectady - Troy,40.920518,-72.748315,42.74558,-73.59177,02_06_2023_07_19,02_06_2023_14_56
SUV,Buffalo,NY,14221,Key West,FL,33040,900,COD/COP,1545,1,2021 mercedes-benz g 550 wagon,Runs,ENCLOSED,2023-02-13,11246670,Please call or text 4246007602. Contract Signed.,Sonic Auto Transportation,(530) 648-9041,support@sonic-auto.com,100.0,Buffalo - Niagara Falls,Not specified,42.98525,-78.722374,24.600416,-81.857909,02_06_2023_07_19,02_06_2023_14_56
CAR,las vegas,NV,89110,arcadia,CA,91006,500,COD/COP,262,1,2007 porsche 911,Runs,ENCLOSED,2023-02-07,1716413,guaranteed pick up 02/07/2023,Montway LLC,(224) 220-0003,dispatch@montway.com,100.0,Las Vegas - Paradise,Los Angeles - Long Beach - Anaheim,36.173908,-115.052913,34.134384,-118.032442,02_06_2023_07_19,02_06_2023_09_39
CAR,Las Vegas,NV,89134,Los Angeles,CA,90049,450,COD/COP,299,1,2022 tesla model s,Runs,ENCLOSED,2023-02-14,GOOG89,Not specified,Royal Quality Logistics Inc,(702) 675-0069,royalqualitylogistics@gmail.com,100.0,Las Vegas - Paradise,Los Angeles - Long Beach - Anaheim,36.197818,-115.310378,34.086348,-118.48826,02_06_2023_07_19,02_06_2023_14_56
SUV,Las Vegas,NV,89165,Spring,TX,77380,1100,COD/COP,1422,1,2020 land rover range rover,Runs,ENCLOSED,2023-02-04,rovencl,call kARL 713-201-0856,Viking Hiline,(713) 201-0856,kstomberg@gmail.com,100.0,Las Vegas - Paradise,Houston - Sugar Land - Baytown,35.99,-115.09,30.140702,-95.472433,02_06_2023_07_19,02_06_2023_08_19
CAR,Las Vegas,NV,89165,Houston,TX,77057,1300,IMMEDIATELY,1486,1,2019 lamborghini huracan,Runs,ENCLOSED,2023-02-06,Not specified,Not specified,At Home Car Care LLC,(239) 537-4140,eddie@carcaremanagement.com,100.0,Las Vegas - Paradise,Houston - Sugar Land - Baytown,35.99,-115.09,29.748316,-95.488856,02_06_2023_07_19,02_06_2023_10_04
CAR,Westwood,NJ,7675,Murrells Inlet,SC,29576,1005,TEN_BUSINESS_DAYS,707,1,2009 porsche cayman s,Runs,ENCLOSED,2023-02-14,11246765,Not specified,All American Trucking & Transport Inc,(650) 443-2020,dispatch@moveauto.com,100.0,New York - Northern New Jersey - Long Island,Myrtle Beach - Conway - North Myrtle Beach,41.009864,-74.007072,33.563028,-79.054258,02_06_2023_07_19,02_06_2023_14_56
CAR,Westwood,NJ,7675,Miami,FL,33101,1005,TEN_BUSINESS_DAYS,1309,1,2009 porsche cayman s,Runs,ENCLOSED,2023-02-14,11246784,"deliver Murrells Inlet, SC 29576",All American Trucking & Transport Inc,(650) 443-2020,dispatch@moveauto.com,100.0,New York - Northern New Jersey - Long Island,Miami - Fort Lauderdale - Pompano Beach,41.009864,-74.007072,25.7738,-80.1936,02_06_2023_07_19,02_06_2023_14_56
CAR,Westwood,NJ,7675,Columbia,SC,29201,1005,TEN_BUSINESS_DAYS,751,1,2009 porsche cayman s,Runs,ENCLOSED,2023-02-14,11246768,"deliver Murrells Inlet, SC 29576",All American Trucking & Transport Inc,(650) 443-2020,dispatch@moveauto.com,100.0,New York - Northern New Jersey - Long Island,Columbia,41.009864,-74.007072,33.986628,-81.024826,02_06_2023_07_19,02_06_2023_14_56
CAR,totowa,NJ,7511,hardeeville,SC,29927,775,COD/COP,798,1,1979 chevrolet corvette coupe,Runs,ENCLOSED,2023-02-06,3933301-at,ready to go,Ultimate Transport 123,(888) 885-9123 x3,dispatch@ultimatetransport123.com,100.0,New York - Northern New Jersey - Long Island,Not specified,40.9169,-74.1723,32.251824,-81.021977,02_06_2023_07_19,02_06_2023_10_04
CAR,teaneck,NJ,7666,richmond,TX,77407,1400,COD/COP,1663,1,2023 porsche taycan,Runs,ENCLOSED,2023-02-17,366724,call/text 954-246-3732,Nationwide Transport Services LLC,(754) 732-0333,central@nationwidetransportservices.com,100.0,New York - Northern New Jersey - Long Island,Houston - Sugar Land - Baytown,40.888461,-74.012066,29.667837,-95.722106,02_06_2023_07_19,02_06_2023_09_29
CAR,south amboy,NJ,8879,seattle,WA,98102,2000,COD/COP,2897,1,2020 subaru forester cvt,Runs,ENCLOSED,2023-02-13,1378898,ach or net 20,Reindeer Logistics LLC,(800) 548-4020,stephen.mackay@reindeerauto.com,99.4,New York - Northern New Jersey - Long Island,Seattle - Tacoma - Bellevue,40.467406,-74.275836,47.635749,-122.324362,02_06_2023_07_19,02_06_2023_14_56
CAR,Ridgefield,NJ,7657,Orlando,FL,32819,1300,COD/COP,1096,1,1995 bmw 330,Runs,ENCLOSED,2023-02-13,E30,Not specified,Luxe Leasing LLC,(609) 933-3111,luxeleasing3@gmail.com,100.0,New York - Northern New Jersey - Long Island,Orlando - Kissimmee - Sanford,40.829894,-74.011812,28.450127,-81.472588,02_06_2023_07_19,02_06_2023_11_02
SUV,Rahway,NJ,7065,Atlanta,GA,30328,750,COD/COP,868,1,2017 bentley bentayga,Runs,ENCLOSED,2023-02-06,11152887,James (404) 446-3921 Ready asap,USA Carship Inc,(404) 835-7997,info@usacarship.com,96.9,New York - Northern New Jersey - Long Island,Atlanta - Sandy Springs - Marietta,40.608682,-74.280353,33.934558,-84.395657,02_06_2023_07_19,02_06_2023_14_56
CAR,north bergen,NJ,7047,petaluma,CA,94954,1600,COD/COP,2899,1,2003 bmw m3,Runs,ENCLOSED,2023-02-10,253963-69895,Not specified,Nexus AT LLC,(224) 265-0677,dispatch@nexusautotransport.com,99.9,New York - Northern New Jersey - Long Island,Santa Rosa - Petaluma,40.790389,-74.020966,38.222404,-122.559603,02_06_2023_07_19,02_06_2023_13_18
CAR,north bergen,NJ,7047,fremont,CA,94536,1600,COD/COP,2926,1,2003 bmw m3,Runs,ENCLOSED,2023-02-10,253963-69896,"destination: petaluma,ca 94954",Nexus AT LLC,(224) 265-0677,dispatch@nexusautotransport.com,99.9,New York - Northern New Jersey - Long Island,San Francisco - Oakland - Fremont,40.790389,-74.020966,37.56699,-121.982656,02_06_2023_07_19,02_06_2023_13_18
CAR,Neptune City,NJ,7753,Laredo,TX,78045,1800,COD/COP,1981,1,1984 ferrari 308,Runs,ENCLOSED,2023-02-10,sergios ferrari,text mike 732 -233- 8485   lift gate hardside truck preferre,Michaels Motorcars Inc,(732) 775-4444,cjrolon@gmail.com,100.0,New York - Northern New Jersey - Long Island,Laredo,40.216897,-74.074201,27.682142,-99.638438,02_06_2023_07_19,02_06_2023_08_06
CAR,Mountainside,NJ,7092,Homer City,PA,15748,600,COD/COP,315,1,1968 chevrolet camaro,Runs,ENCLOSED,2023-02-06,68CAMA5250-PA,Not specified,Hansterers Hot Rods,(724) 915-8020,john@hanksters.com,100.0,New York - Northern New Jersey - Long Island,Not specified,40.681856,-74.359385,40.521474,-79.115306,02_06_2023_07_19,02_06_2023_08_39
CAR,Moonachie,NJ,7074,Reno,NV,89511,1800,COD/COP,2706,1,2002 porsche 911,Runs,ENCLOSED,2023-02-04,Not specified,"TEXT 845-798-1276 TO ASSIGN. TEXT ONLY, DO NOT CALL",Gary Motors Inc,(201) 655-0872,andrew@vantageauto.com,98.4,New York - Northern New Jersey - Long Island,Reno - Sparks,40.839267,-74.058904,39.368173,-119.871506,02_06_2023_07_19,02_06_2023_11_11
CAR,Monmouth Junction,NJ,8852,Kansas City,MO,64152,900,COD/COP,1182,1,2022 acura tlx awd,Runs,ENCLOSED,2023-02-06,11040045,Daniel || 404 551 4548 ||,USA Carship Inc,(404) 835-7997,info@usacarship.com,96.9,New York - Northern New Jersey - Long Island,Kansas City,40.394588,-74.548626,39.217586,-94.74676,02_06_2023_07_19,02_06_2023_14_56
